,predictions,target
0,1.0,1.0
1,1.0,1.0
2,1.0,2.0
3,1.0,2.0
4,1.0,2.0
5,1.0,7.0
6,2.0,2.0
7,2.0,9.0
8,1.0,5.0
9,3.0,3.0
10,2.0,1.0
11,2.0,1.0
12,1.0,1.0
13,2.0,2.0
14,1.0,1.0
15,1.0,5.0
16,1.0,1.0
17,1.0,1.0
18,4.0,1.0
19,1.0,1.0
20,2.0,2.0
21,2.0,1.0
22,1.0,2.0
23,1.0,0.0
24,1.0,1.0
25,1.0,2.0
26,1.0,7.0
27,1.0,1.0
28,2.0,8.0
29,1.0,1.0
30,1.0,2.0
31,1.0,2.0
32,1.0,2.0
33,3.0,1.0
34,1.0,4.0
35,1.0,3.0
36,1.0,2.0
37,1.0,1.0
38,1.0,4.0
39,1.0,6.0
40,1.0,1.0
41,1.0,0.0
42,2.0,2.0
43,1.0,2.0
44,3.0,1.0
45,1.0,6.0
46,1.0,0.0
47,2.0,2.0
48,1.0,7.0
49,1.0,1.0
50,2.0,2.0
51,1.0,1.0
52,1.0,4.0
53,2.0,8.0
54,2.0,7.0
55,1.0,2.0
56,2.0,2.0
57,2.0,2.0
58,2.0,2.0
59,3.0,3.0
60,2.0,1.0
61,2.0,1.0
62,2.0,5.0
63,1.0,1.0
64,1.0,2.0
65,2.0,2.0
66,2.0,8.0
67,1.0,9.0
68,2.0,1.0
69,1.0,5.0
70,1.0,9.0
71,1.0,1.0
72,2.0,1.0
73,3.0,7.0
74,1.0,1.0
75,1.0,1.0
76,0.0,0.0
77,2.0,2.0
78,2.0,1.0
79,2.0,1.0
80,1.0,2.0
81,7.0,7.0
82,1.0,6.0
83,1.0,1.0
84,2.0,2.0
85,2.0,1.0
86,2.0,2.0
87,1.0,4.0
88,1.0,1.0
89,2.0,4.0
90,1.0,4.0
91,1.0,1.0
92,1.0,1.0
93,1.0,5.0
94,3.0,3.0
95,1.0,9.0
96,1.0,2.0
97,1.0,1.0
98,1.0,1.0
99,1.0,1.0
100,2.0,2.0
101,5.0,1.0
102,1.0,1.0
103,2.0,2.0
104,2.0,6.0
105,1.0,9.0
106,0.0,0.0
107,1.0,1.0
108,1.0,1.0
109,1.0,1.0
110,1.0,5.0
111,3.0,8.0
112,1.0,2.0
113,1.0,9.0
114,2.0,1.0
115,1.0,1.0
116,1.0,9.0
117,1.0,1.0
118,2.0,2.0
119,1.0,2.0
120,1.0,1.0
121,2.0,1.0
122,1.0,2.0
123,1.0,4.0
124,1.0,2.0
125,1.0,0.0
126,1.0,2.0
127,1.0,1.0
128,1.0,1.0
129,1.0,1.0
130,1.0,1.0
131,6.0,4.0
132,1.0,1.0
133,2.0,2.0
134,2.0,6.0
135,2.0,2.0
136,1.0,8.0
137,2.0,1.0
138,1.0,2.0
139,2.0,1.0
140,1.0,2.0
141,2.0,6.0
142,1.0,5.0
143,2.0,1.0
144,2.0,6.0
145,2.0,6.0
146,1.0,2.0
147,2.0,2.0
148,1.0,1.0
149,0.0,0.0
150,1.0,1.0
151,1.0,1.0
152,2.0,2.0
153,1.0,2.0
154,7.0,1.0
155,2.0,2.0
156,2.0,2.0
157,3.0,3.0
158,1.0,4.0
159,2.0,1.0
160,3.0,1.0
161,1.0,1.0
162,1.0,1.0
163,6.0,6.0
164,2.0,1.0
165,2.0,2.0
166,2.0,2.0
167,1.0,4.0
168,1.0,9.0
169,1.0,1.0
170,7.0,2.0
171,2.0,1.0
172,2.0,1.0
173,2.0,2.0
174,1.0,1.0
175,1.0,1.0
176,1.0,1.0
177,2.0,2.0
178,1.0,1.0
179,1.0,1.0
180,2.0,1.0
181,2.0,5.0
182,7.0,1.0
183,0.0,0.0
184,2.0,1.0
185,1.0,1.0
186,1.0,1.0
187,1.0,1.0
188,1.0,1.0
189,3.0,3.0
190,1.0,1.0
191,5.0,1.0
192,1.0,7.0
193,3.0,1.0
194,2.0,2.0
195,1.0,0.0
196,1.0,1.0
197,1.0,2.0
198,1.0,1.0
199,1.0,2.0
200,1.0,1.0
201,1.0,1.0
202,1.0,2.0
203,1.0,1.0
204,2.0,4.0
205,1.0,1.0
206,6.0,6.0
207,1.0,1.0
208,1.0,4.0
209,1.0,2.0
210,0.0,0.0
211,1.0,6.0
212,1.0,1.0
213,5.0,9.0
214,2.0,2.0
215,1.0,1.0
216,1.0,1.0
217,2.0,1.0
218,2.0,5.0
219,2.0,1.0
220,2.0,0.0
221,2.0,5.0
222,2.0,9.0
223,1.0,9.0
224,1.0,2.0
225,2.0,3.0
226,1.0,1.0
227,1.0,3.0
