,predictions,target
0,2.0,2.0
1,0.0,7.0
2,1.0,1.0
3,9.0,4.0
4,1.0,6.0
5,2.0,2.0
6,0.0,0.0
7,9.0,4.0
8,9.0,6.0
9,9.0,3.0
10,7.0,7.0
11,1.0,1.0
12,0.0,0.0
13,2.0,2.0
14,2.0,2.0
15,5.0,5.0
16,3.0,2.0
17,9.0,4.0
18,9.0,8.0
19,9.0,1.0
20,7.0,7.0
21,9.0,3.0
22,0.0,0.0
23,9.0,3.0
24,9.0,3.0
25,9.0,7.0
26,3.0,7.0
27,9.0,9.0
28,1.0,1.0
29,9.0,3.0
30,5.0,3.0
31,3.0,4.0
32,0.0,3.0
33,4.0,4.0
34,0.0,2.0
35,9.0,8.0
36,9.0,8.0
37,9.0,9.0
38,9.0,8.0
39,9.0,4.0
40,9.0,7.0
41,9.0,1.0
42,9.0,6.0
43,9.0,9.0
44,9.0,4.0
45,9.0,0.0
46,1.0,1.0
47,8.0,3.0
48,9.0,6.0
49,2.0,2.0
50,7.0,1.0
51,4.0,4.0
52,9.0,5.0
53,2.0,2.0
54,0.0,8.0
55,0.0,8.0
56,9.0,9.0
57,3.0,3.0
58,0.0,0.0
59,8.0,8.0
60,9.0,4.0
61,1.0,7.0
62,1.0,6.0
63,1.0,2.0
64,2.0,2.0
65,4.0,4.0
66,6.0,6.0
67,9.0,4.0
68,3.0,4.0
69,9.0,8.0
70,2.0,2.0
71,1.0,1.0
72,1.0,2.0
73,9.0,3.0
74,1.0,2.0
75,9.0,5.0
76,9.0,7.0
77,3.0,9.0
78,3.0,9.0
79,5.0,5.0
80,1.0,1.0
81,3.0,3.0
82,2.0,9.0
83,2.0,2.0
84,9.0,5.0
85,2.0,0.0
86,9.0,4.0
87,9.0,7.0
88,9.0,5.0
89,3.0,8.0
90,1.0,1.0
91,0.0,0.0
92,2.0,2.0
93,9.0,4.0
94,2.0,2.0
95,3.0,0.0
96,0.0,8.0
97,9.0,4.0
98,9.0,5.0
99,7.0,7.0
100,1.0,1.0
101,9.0,7.0
102,9.0,6.0
103,0.0,0.0
104,8.0,8.0
105,9.0,1.0
106,0.0,4.0
107,1.0,1.0
108,4.0,9.0
109,3.0,3.0
