@relation SEA
@attribute x real
@attribute y real
@attribute z real
@attribute class {n,p}

@data
3.621,3.660,1.310,p
5.371,8.268,2.594,n
4.440,9.598,0.308,n
0.057,7.591,6.838,p
8.908,8.469,3.320,n
1.119,3.778,5.713,p
2.654,4.872,6.462,p
7.152,7.503,7.255,n
6.883,6.051,5.919,n
3.963,9.402,5.414,n
2.650,2.162,6.962,p
5.938,6.519,1.654,n
1.930,0.652,4.280,p
7.369,1.007,2.214,p
8.728,2.126,1.605,n
1.944,8.291,8.187,n
1.472,1.630,6.470,p
0.905,0.619,5.225,p
9.046,9.128,1.685,n
2.173,0.283,8.893,p
3.599,1.973,0.963,p
8.624,6.132,9.654,n
0.256,7.588,9.861,n
2.085,1.267,8.553,p
0.797,1.973,5.907,p
3.886,2.386,2.108,p
1.351,5.138,6.210,p
3.578,3.680,9.838,p
1.568,2.001,1.021,p
6.361,0.760,3.860,p
1.432,9.369,7.169,p
6.194,3.081,6.614,n
5.266,7.559,2.500,n
5.728,2.243,4.182,p
8.088,3.306,5.600,n
8.887,9.198,5.877,n
4.650,7.167,5.961,n
6.159,7.845,8.730,n
2.840,3.561,1.556,p
6.970,1.987,5.607,p
5.401,9.909,2.220,n
0.580,8.133,5.719,p
8.325,9.811,6.701,n
0.482,4.568,1.604,p
0.101,0.800,2.430,p
2.378,3.607,5.813,p
5.951,3.230,2.072,n
2.238,6.821,8.646,n
3.661,0.664,4.462,p
5.114,7.789,1.583,n
2.580,0.244,6.464,p
1.383,1.251,2.591,p
8.289,3.978,4.011,n
6.488,4.383,6.865,n
2.251,4.122,5.604,p
9.069,9.177,2.752,n
1.595,7.660,8.830,n
5.712,1.763,2.506,p
2.176,5.695,7.578,n
6.816,7.172,3.480,n
1.648,7.299,0.407,n
8.079,6.284,2.675,p
9.594,1.391,7.758,p
6.597,7.004,4.451,n
1.648,3.255,1.263,p
9.089,9.594,1.192,n
4.082,1.181,2.955,n
7.496,0.040,1.898,p
2.732,5.857,2.509,n
6.835,7.911,8.087,n
5.454,4.908,8.557,n
2.039,0.039,2.776,p
5.982,8.817,8.294,n
1.703,6.200,5.310,p
3.594,0.035,3.892,p
4.053,8.612,5.844,n
8.979,7.488,4.927,n
5.442,1.521,8.330,p
4.845,4.671,0.454,n
7.447,4.226,3.552,n
4.019,6.889,6.050,n
2.089,2.077,8.860,p
5.610,1.724,7.898,p
8.667,3.296,2.223,n
7.067,8.438,0.305,n
6.225,3.165,4.318,n
5.266,1.386,1.381,p
1.064,3.970,4.924,p
8.889,2.166,0.347,p
7.039,8.149,9.641,n
3.424,8.379,1.181,n
0.952,3.997,4.950,p
1.686,2.317,8.201,p
5.799,2.119,7.149,p
3.795,1.300,4.629,p
1.174,0.910,0.276,p
6.375,7.446,6.868,n
6.630,3.897,6.311,n
6.416,2.431,0.602,n
5.905,3.496,6.054,n
5.222,0.608,3.532,p
1.994,8.801,4.241,n
7.135,7.433,7.211,n
2.516,9.764,1.510,n
4.433,1.282,3.952,p
7.076,8.823,0.246,n
5.841,1.047,6.526,p
4.486,9.880,7.194,n
7.013,5.356,8.968,n
0.436,8.149,6.511,n
3.137,2.983,3.526,p
1.678,1.484,6.872,p
7.280,0.501,0.992,p
